,area_type,availability,location,size,society,total_sqft,bath,balcony,price
441,Super built-up  Area,Ready To Move,Jubilee Hills,2 BHK,Ocavees,1250,2.0,1.0,76.0
442,Super built-up  Area,Ready To Move,Jubilee Hills,3 BHK,Brnia G,1400,2.0,1.0,95.0
444,Super built-up  Area,Ready To Move,Kukatpally,3 BHK,SoystAm,1750,3.0,2.0,100.0
445,Super built-up  Area,Ready To Move,Madhapur,2 BHK,Prlla C,1404,2.0,1.0,71.0
446,Super built-up  Area,Ready To Move,Beeramguda,3 BHK,SMaxyay,1715,2.0,2.0,95.0
447,Built-up  Area,18-Apr,Ghansi Bazaar,1 BHK,Prarkun,630,1.0,1.0,34.65
448,Super built-up  Area,Ready To Move,Chintalakunta,3 BHK,SosicCl,1752.12,3.0,2.0,135.0
450,Super built-up  Area,Ready To Move,Kukatpally,2 BHK,GrrvaGr,1295,2.0,1.0,55.47
451,Plot  Area,Ready To Move,Gajularamaram,3 Bedroom,Bancyri,1800,3.0,2.0,252.0
452,Super built-up  Area,18-Sep,Gajularamaram,2 BHK,PualeSk,1346,2.0,1.0,74.03
454,Super built-up  Area,Ready To Move,Nallakunta,2 BHK,ElavuHo,1150,2.0,2.0,55.0
455,Built-up  Area,Ready To Move,Bowenpally,4 Bedroom,Gontyol,3309,4.0,3.0,325.0
456,Super built-up  Area,18-May,Nallakunta,3 BHK,SunceEs,1190,2.0,2.0,30.35
457,Super built-up  Area,Ready To Move,Nallakunta,3 BHK,DSutyng,1620,3.0,2.0,98.0
459,Super built-up  Area,Ready To Move,Malkajgiri,11 BHK,Bancyri,5000,9.0,3.0,360.0
460,Super built-up  Area,Ready To Move,Kompally,3 BHK,SrEndPo,2450,3.0,0.0,120.0
461,Super built-up  Area,18-May,Kondapur,3 BHK,Sryalan,1220,2.0,1.0,35.23
462,Super built-up  Area,Ready To Move,Kondapur,2 BHK,RKntsrt,850,2.0,1.0,30.0
465,Super built-up  Area,Ready To Move,Jubilee Hills,2 BHK,Vantspa,1150,2.0,2.0,126.0
466,Super built-up  Area,18-Dec,Jubilee Hills,3 BHK,Mahosya,1760,2.0,2.0,130.0
471,Super built-up  Area,Ready To Move,Jubilee Hills,2 BHK,Prowsi ,900,2.0,1.0,40.0
473,Super built-up  Area,18-May,Bandlaguda Jagir,2 BHK,SMuilan,1130,2.0,1.0,42.16
474,Super built-up  Area,Ready To Move,Jubilee Hills,2 BHK,Proodt ,1320,2.0,1.0,165.0
476,Built-up  Area,Ready To Move,Saroornagar,2 BHK,Sryamar,1200,2.0,1.0,62.0
479,Super built-up  Area,Ready To Move,Begumpet,2 BHK,Prldsri,929,2.0,0.0,50.17
480,Built-up  Area,Ready To Move,Banjara Hills,4 BHK,LiaveEn,1150,4.0,2.0,260.0
483,Plot  Area,Ready To Move,Beeramguda,5 Bedroom,Bemesrm,1200,5.0,2.0,190.0
488,Super built-up  Area,Ready To Move,Beeramguda,2 BHK,Vrensn ,1130,2.0,2.0,60.0
489,Super built-up  Area,Ready To Move,Boduppal,3 BHK,VDdonel,1753,3.0,2.0,120.0
490,Super built-up  Area,Ready To Move,Boduppal,5 BHK,Brica E,4500,7.0,3.0,337.0
492,Super built-up  Area,22-Jun,Nagole,2 BHK,GoAirej,1196,2.0,2.0,94.42
493,Built-up  Area,Ready To Move,Kukatpally,2 BHK,Prenty ,1150,3.0,3.0,52.5
494,Super built-up  Area,18-Apr,Kukatpally,2 BHK,Prarkun,1128,2.0,1.0,63.0
495,Super built-up  Area,Ready To Move,Beeramguda,2 BHK,Shinei ,1000,2.0,1.0,53.0
496,Super built-up  Area,Ready To Move,Beeramguda,2 BHK,Apows M,1035,2.0,1.0,45.0
498,Super built-up  Area,Ready To Move,Beeramguda,3 BHK,Prityel,1075,2.0,1.0,36.0
499,Super built-up  Area,Ready To Move,Neknampur,2 BHK,SVineun,1040,2.0,1.0,48.5
501,Super built-up  Area,Ready To Move,Beeramguda,3 BHK,Soiewre,1511,3.0,1.0,95.0
503,Super built-up  Area,19-Dec,Mallapur,3 BHK,Caycend,1545,3.0,1.0,68.75
507,Super built-up  Area,Ready To Move,Nagole,2 BHK,DSvvyx ,1000,2.0,1.0,35.0
508,Super built-up  Area,17-May,Appa Junction Peerancheru,2 BHK,Prrtht ,883,2.0,1.0,45.0
509,Super built-up  Area,19-Apr,Appa Junction Peerancheru,2 BHK,Brareio,1195,2.0,1.0,70.0
512,Super built-up  Area,Ready To Move,Ambedkar Nagar,2 BHK,Prlla C,1246,2.0,1.0,67.0
516,Super built-up  Area,18-Dec,Hafeezpet,4 BHK,SNnia E,2805,5.0,3.0,154.0
521,Super built-up  Area,Ready To Move,Saroornagar,2 BHK,OlarkLa,1353,2.0,2.0,110.0
522,Super built-up  Area,18-Apr,Bachupally,3 BHK,Prarkun,1599,3.0,2.0,125.0
523,Super built-up  Area,Ready To Move,Kondapur,2 BHK,SuMTBPr,1150,2.0,1.0,70.0
524,Super built-up  Area,17-Dec,Gajularamaram,4 BHK,Lecco C,5230,6.0,1.0,465.0
525,Super built-up  Area,Ready To Move,Narsingi,2 BHK,Jahidva,1155,2.0,2.0,42.74
529,Built-up  Area,Ready To Move,Boduppal,3 BHK,PuoodSk,1867,3.0,1.0,160.0
530,Super built-up  Area,18-Jun,Manikonda,2 BHK,ViistLa,1251,2.0,1.0,47.0
531,Super built-up  Area,18-Apr,Vanasthalipuram,2 BHK,Arano M,1028,2.0,1.0,45.5
532,Super built-up  Area,Ready To Move,Amberpet,2 BHK,Amngsag,1222,2.0,2.0,45.0
533,Super built-up  Area,Ready To Move,Gachibowli,3 BHK,SNity S,1170,2.0,1.0,66.0
534,Super built-up  Area,Ready To Move,Gachibowli,3 BHK,Kacesh ,2400,4.0,1.0,245.0
536,Super built-up  Area,Ready To Move,Bandlaguda Jagir,2 BHK,SrisePo,1372,2.0,1.0,68.0
537,Super built-up  Area,Ready To Move,Moula Ali,3 BHK,Bilya A,1282,2.0,2.0,49.0
538,Super built-up  Area,Ready To Move,Bandlaguda Jagir,9 BHK,Amsomun,5000,9.0,3.0,210.0
540,Super built-up  Area,Ready To Move,Moula Ali,2 BHK,Shdhia ,1135,2.0,1.0,39.73
542,Built-up  Area,Ready To Move,Kondapur,3 BHK,Foconna,1325,2.0,1.0,90.0
543,Super built-up  Area,18-Apr,Mehdipatnam,3 BHK,Prarkun,1599,3.0,2.0,99.0
549,Super built-up  Area,18-Sep,Kukatpally,2 BHK,Shxorm ,1195 - 1440,2.0,0.0,63.77
550,Super built-up  Area,Ready To Move,Kukatpally,3 BHK,Brium C,3450,5.0,2.0,260.0
551,Super built-up  Area,18-Apr,Banjara Hills,2 BHK,Sadhii ,1102,2.0,2.0,53.67
552,Super built-up  Area,Ready To Move,Banjara Hills,2 BHK,Sahanra,1350,2.0,2.0,54.0
557,Super built-up  Area,21-Dec,Kachiguda,1 BHK,PrarePa,525,1.0,1.0,27.25
558,Built-up  Area,Ready To Move,Kachiguda,2 BHK,Jae 2hu,656,2.0,1.0,25.0
560,Super built-up  Area,Ready To Move,Kachiguda,2 BHK,Icncy R,1056,2.0,1.0,80.0
561,Super built-up  Area,21-Feb,Kachiguda,1 BHK,Hiatei ,595,1.0,1.0,33.32
563,Super built-up  Area,19-Dec,Kachiguda,3 BHK,Puarero,2225,3.0,1.0,160.0
564,Super built-up  Area,18-Aug,Kachiguda,2 BHK,DSoodil,1126,2.0,1.0,28.15
565,Super built-up  Area,Ready To Move,Mehdipatnam,3 BHK,GaicaVe,1490,3.0,1.0,84.0
567,Super built-up  Area,Ready To Move,Nacharam,3 BHK,PuineSu,1550,3.0,3.0,100.0
568,Super built-up  Area,Ready To Move,Nacharam,3 BHK,Grare S,1600,3.0,2.0,86.0
570,Built-up  Area,Ready To Move,Nizampet,4 Bedroom,PrOakSi,4144,4.0,3.0,315.0
571,Super built-up  Area,Ready To Move,Nizampet,3 BHK,Supleon,2100,3.0,2.0,125.0
572,Super built-up  Area,Ready To Move,Nizampet,2 BHK,Prlla C,1404,2.0,1.0,69.3
573,Plot  Area,Ready To Move,Nizampet,4 Bedroom,LGestbo,2230,4.0,3.0,225.0
575,Super built-up  Area,18-May,Kondapur,3 BHK,Pridsi ,1305,2.0,1.0,58.7
576,Super built-up  Area,Ready To Move,Narsingi,2 BHK,Aahts H,1230,2.0,2.0,80.0
582,Super built-up  Area,19-Dec,Kukatpally,1 BHK,Kolisl ,715,1.0,2.0,46.0
583,Super built-up  Area,Ready To Move,Masab Tank,3 BHK,Toindls,2500,3.0,2.0,313.0
584,Super built-up  Area,Ready To Move,Kukatpally,3 BHK,Puceswn,1578,3.0,1.0,180.0
586,Super built-up  Area,Ready To Move,Nizampet,2 BHK,i1odsne,1020,2.0,1.0,40.0
587,Super built-up  Area,Ready To Move,Malkajgiri,2 BHK,Ansna K,1253,2.0,1.0,102.0
588,Super built-up  Area,Ready To Move,Bolarum,2 BHK,ARnamru,1180,2.0,2.0,42.0
589,Super built-up  Area,Ready To Move,Bachupally,2 BHK,Veyalin,961,2.0,2.0,38.0
591,Super built-up  Area,Ready To Move,Nizampet,3 BHK,SomonCi,1709,3.0,2.0,150.0
596,Super built-up  Area,Ready To Move,Nagole,2 BHK,Daill S,1260,2.0,2.0,45.0
597,Built-up  Area,Ready To Move,Nagole,3 BHK,DSureSi,1630,3.0,2.0,85.0
598,Super built-up  Area,19-May,Nizampet,3 BHK,Soini T,1249,3.0,2.0,44.71
599,Super built-up  Area,Ready To Move,Alwal,3 BHK,MancyRe,1450,2.0,3.0,85.0
600,Super built-up  Area,17-Nov,Kokapet,3 BHK,Prasa W,2791,3.0,1.0,223.0
602,Built-up  Area,Ready To Move,Kokapet,1 BHK,Kaantth,834,1.0,1.0,60.0
606,Built-up  Area,Ready To Move,Mehdipatnam,2 BHK,Drente ,891,2.0,1.0,25.0
607,Super built-up  Area,Ready To Move,Nanakramguda,2 BHK,GrrvaGr,1133,2.0,1.0,49.07
608,Built-up  Area,Ready To Move,Chandanagar,3 BHK,Prityel,1075,2.0,1.0,37.0
616,Super built-up  Area,Ready To Move,Kondapur,2 BHK,SGandea,1090,2.0,1.0,42.0
620,Super built-up  Area,18-Dec,Manikonda,3 BHK,Mahosya,1920,3.0,2.0,134.0
621,Built-up  Area,Ready To Move,Narsingi,2 BHK,Eline P,1374,2.0,2.0,95.0
623,Super built-up  Area,19-Dec,Puppalaguda,1 BHK,GoityEt,711,1.0,1.0,36.0
624,Super built-up  Area,Ready To Move,Nallagandla Gachibowli,3 BHK,SosonGa,1500,3.0,3.0,95.0
625,Super built-up  Area,Ready To Move,Kondapur,3 BHK,Gotis A,1720,3.0,3.0,100.0
628,Super built-up  Area,Ready To Move,Chandanagar,2 BHK,PrntaEn,1200,2.0,1.0,85.0
629,Carpet  Area,18-Jul,Banjara Hills,3 BHK,NSezeBr,1375,3.0,2.0,70.0
631,Super built-up  Area,Ready To Move,Jubilee Hills,3 BHK,Tahtsla,2250,3.0,2.0,160.0
632,Super built-up  Area,Ready To Move,East Marredpally,2 BHK,Sronda ,1000,2.0,2.0,50.0
633,Super built-up  Area,Ready To Move,Kondapur,1 BHK,Prntsax,469,1.0,0.0,25.0
634,Super built-up  Area,Ready To Move,Narsingi,4 BHK,PueraRi,3800,4.0,3.0,250.0
635,Super built-up  Area,Ready To Move,Narsingi,2 BHK,Prrtht ,883,2.0,1.0,29.0
636,Super built-up  Area,Ready To Move,Kondapur,3 BHK,Chnts A,1820,2.0,3.0,86.0
639,Built-up  Area,Ready To Move,Kondapur,4 BHK,GaityEt,2500,5.0,2.0,325.0
643,Super built-up  Area,Ready To Move,Jubilee Hills,1 BHK,ShshaSa,750,1.0,2.0,40.0
649,Super built-up  Area,Ready To Move,Kukatpally,3 BHK,Taonte ,2378,3.0,1.0,262.0
650,Super built-up  Area,Ready To Move,Banjara Hills,2 BHK,Ahownve,1128,2.0,1.0,60.0
651,Super built-up  Area,Ready To Move,Kokapet,3 BHK,Cevely ,1500,3.0,1.0,150.0
654,Super built-up  Area,20-Oct,Gachibowli,3 BHK,PrarePa,1100,2.0,1.0,58.0
655,Super built-up  Area,Ready To Move,Abids,3 BHK,Vaodspe,1200,3.0,2.0,46.0
657,Super built-up  Area,Ready To Move,Kondapur,3 BHK,DSldsen,1641,3.0,2.0,66.0
659,Super built-up  Area,Ready To Move,Chandanagar,2 BHK,NaonySy,1260,2.0,1.0,67.39
661,Super built-up  Area,Ready To Move,West Marredpally,2 BHK,Rarthne,1120 - 1145,2.0,0.0,48.13
662,Super built-up  Area,Ready To Move,Kukatpally,2 BHK,Pyikad ,1210,2.0,1.0,45.98
664,Super built-up  Area,Ready To Move,Kondapur,3 BHK,Prityel,1075,2.0,1.0,45.0
665,Built-up  Area,Ready To Move,Malkajgiri,3 BHK,Soitya ,1702,3.0,2.0,130.0
666,Super built-up  Area,Ready To Move,Somajiguda,2 BHK,Malex C,1630,2.0,2.0,200.0
667,Super built-up  Area,Ready To Move,Miyapur,2 BHK,GrrvaGr,1141,2.0,2.0,38.55
672,Built-up  Area,18-Mar,Alwal,4 Bedroom,Toainnt,3090 - 5002,4.0,0.0,445.0
674,Built-up  Area,Ready To Move,Alwal,3 BHK,Edreelm,35000,3.0,3.0,130.0
683,Super built-up  Area,Ready To Move,Hitech City,3 BHK,RMcesa ,1875,3.0,2.0,165.0
685,Plot  Area,Ready To Move,Madhapur,3 Bedroom,Krreera,1200,3.0,2.0,140.0
686,Super built-up  Area,Ready To Move,Sri Nagar Colony,2 BHK,PaantPl,1140,2.0,1.0,56.0
687,Super built-up  Area,Ready To Move,Hitech City,3 BHK,Soiewre,1683,3.0,1.0,109.0
689,Super built-up  Area,19-Dec,Quthbullapur,4 BHK,Caycend,2118,4.0,2.0,111.0
693,Built-up  Area,Ready To Move,Kukatpally,3 BHK,Sohea A,2300,3.0,3.0,120.0
694,Super built-up  Area,Ready To Move,Kukatpally,2 BHK,MSvelek,1240,2.0,2.0,60.0
695,Super built-up  Area,Ready To Move,Kondapur,3 BHK,VDdonel,1750,3.0,1.0,120.0
698,Super built-up  Area,Ready To Move,Alwal,2 BHK,SLtias ,985,2.0,1.0,40.39
699,Plot  Area,Ready To Move,Kondapur,3 Bedroom,Hentye ,1500,2.0,1.0,87.0
701,Built-up  Area,Ready To Move,Alwal,2 BHK,SMikaay,950,2.0,1.0,44.0
705,Built-up  Area,18-Jul,Alwal,2 BHK,Sryalan,1090,2.0,1.0,28.34
708,Super built-up  Area,18-Apr,Kondapur,2 BHK,Prony S,810,2.0,2.0,24.5
709,Super built-up  Area,Ready To Move,Kondapur,2 BHK,PaisePa,1045,2.0,0.0,45.0
710,Super built-up  Area,18-Sep,Kondapur,2 BHK,Arcia S,1337,2.0,1.0,82.0
712,Super built-up  Area,Ready To Move,Hafeezpet,3 BHK,TealeRo,1580,3.0,2.0,160.0
713,Super built-up  Area,Ready To Move,Kukatpally,3 BHK,Dhalsh ,1500,2.0,3.0,54.0
714,Super built-up  Area,18-Sep,Kukatpally,3 BHK,Umods W,1640,4.0,2.0,91.0
715,Super built-up  Area,Ready To Move,Gajularamaram,3 BHK,SSarlPe,1570,3.0,2.0,62.0
716,Super built-up  Area,Ready To Move,Kondapur,3 BHK,MauilTr,1470,2.0,2.0,82.0
718,Built-up  Area,Ready To Move,Sainikpuri,2 BHK,Brnia G,1050,2.0,1.0,71.0
719,Super built-up  Area,20-Jun,Puppalaguda,3 BHK,Soeurri,1855,3.0,1.0,225.0
720,Super built-up  Area,Ready To Move,Puppalaguda,3 BHK,SNity S,1460,2.0,1.0,90.0
722,Super built-up  Area,Ready To Move,Nizampet,2 BHK,Daives ,1094,2.0,2.0,42.0
723,Super built-up  Area,Ready To Move,Serilingampally,2 BHK,PrityTr,1153,2.0,2.0,57.0
724,Built-up  Area,Ready To Move,Serilingampally,3 BHK,PNncysi,1325,3.0,1.0,57.0
726,Built-up  Area,Ready To Move,Gachibowli,3 BHK,Socon Z,1590,2.0,2.0,125.0
729,Super built-up  Area,Ready To Move,Kondapur,2 BHK,Krite D,1202,2.0,1.0,48.0
731,Super built-up  Area,Ready To Move,Kukatpally,2 BHK,Srisei ,1200,2.0,3.0,62.5
732,Super built-up  Area,18-Feb,Kondapur,3 BHK,Prcesvy,1688,3.0,1.0,118.0
733,Built-up  Area,Ready To Move,Manikonda,2 BHK,Soestrn,1020,2.0,1.0,52.0
734,Super built-up  Area,Ready To Move,West Marredpally,2 BHK,Coa 3t ,1185,2.0,2.0,47.0
735,Super built-up  Area,17-Oct,Manikonda,2 BHK,ViistLa,1235,2.0,1.0,52.04
736,Super built-up  Area,Ready To Move,Banjara Hills,4 BHK,Taonte ,3205,5.0,1.0,500.0
738,Super built-up  Area,Ready To Move,Banjara Hills,3 BHK,MB-laan,1415,2.0,3.0,66.0
739,Super built-up  Area,18-Apr,Banjara Hills,3 BHK,BrontLa,2330,3.0,2.0,162.0
740,Super built-up  Area,Ready To Move,Banjara Hills,2 BHK,JahanSa,805,2.0,2.0,35.0
742,Super built-up  Area,Ready To Move,Qutub Shahi Tombs,2 BHK,DNlleks,1155,2.0,3.0,59.95
745,Built-up  Area,Ready To Move,Sainikpuri,2 BHK,Alncy R,1100,2.0,0.0,48.0
748,Super built-up  Area,Ready To Move,Malkajgiri,2 BHK,RMcesa ,1468,2.0,1.0,140.0
749,Plot  Area,Ready To Move,East Marredpally,4 Bedroom,RMaanSa,4300,5.0,2.0,550.0
750,Super built-up  Area,18-Dec,Kukatpally,3 BHK,Prtates,2280,4.0,2.0,126.0
751,Super built-up  Area,Ready To Move,Nizampet,2 BHK,Soiniy ,1341,2.0,1.0,97.0
753,Super built-up  Area,18-Dec,Nagole,4 BHK,SNbay G,2225,4.0,0.0,98.88
754,Super built-up  Area,Ready To Move,Nacharam,2 BHK,MenueNo,1185,2.0,2.0,43.51
755,Super built-up  Area,Ready To Move,Nacharam,3 BHK,VMianri,1750,3.0,2.0,85.0
756,Super built-up  Area,Ready To Move,Kapra,2 BHK,GKityel,1152,2.0,1.0,53.5
758,Super built-up  Area,Ready To Move,Mallapur,2 BHK,Jaise P,1300,2.0,3.0,36.0
761,Super built-up  Area,Ready To Move,Nizampet,2 BHK,Siayayo,1101,2.0,0.0,45.0
763,Super built-up  Area,Ready To Move,Mallapur,1 BHK,IBityin,667,1.0,1.0,36.85
764,Super built-up  Area,Ready To Move,West Marredpally,2 BHK,GMown E,1070,2.0,1.0,55.0
765,Built-up  Area,Ready To Move,Nacharam,3 BHK,Trnce A,1875,2.0,2.0,110.0
766,Super built-up  Area,Ready To Move,Toli Chowki,2 BHK,Dieldli,735,2.0,1.0,57.99
769,Super built-up  Area,Ready To Move,Habsiguda,2 BHK,PuilaMi,1215,2.0,1.0,67.0
771,Super built-up  Area,Ready To Move,KTR Colony,2 BHK,Prodsth,820,2.0,1.0,30.0
772,Super built-up  Area,20-Dec,Mallapur,2 BHK,Brens7 ,1160 - 1195,2.0,0.0,59.935
773,Super built-up  Area,Ready To Move,Nizampet,3 BHK,PaontWa,1779,3.0,2.0,89.61
774,Built-up  Area,Ready To Move,Nizampet,2 BHK,HMRWAyo,1105,2.0,2.0,58.0
776,Super built-up  Area,Ready To Move,Nizampet,3 BHK,UKkente,1650,3.0,2.0,60.0
777,Super built-up  Area,Ready To Move,Nizampet,2 BHK,Tahtsla,1694,2.0,2.0,150.0
778,Super built-up  Area,Ready To Move,AS Rao Nagar,3 BHK,Taonte ,2376,3.0,1.0,203.0
780,Super built-up  Area,Ready To Move,Tarnaka,2 BHK,Icingpy,674,2.0,1.0,33.0
781,Super built-up  Area,Ready To Move,West Marredpally,2 BHK,SLireap,1185,2.0,1.0,41.0
782,Super built-up  Area,Ready To Move,Nagole,1 RK,Bhmesy ,445,1.0,0.0,28.0
785,Super built-up  Area,Ready To Move,Nacharam,3 BHK,Sklls C,1618,3.0,3.0,82.5
786,Super built-up  Area,Ready To Move,Toli Chowki,2 BHK,Vaanda ,1120,2.0,0.0,65.0
787,Super built-up  Area,Ready To Move,Mallapur,4 BHK,Sutte C,2181,3.0,2.0,152.0
790,Super built-up  Area,18-Oct,Habsiguda,3 BHK,DSnjh S,1556,2.0,1.0,59.13
791,Super built-up  Area,19-Feb,Mallampet,2 BHK,Hiatei ,1179,2.0,1.0,66.02
792,Super built-up  Area,Ready To Move,Nizampet,2 BHK,Bhmesy ,1296,2.0,2.0,83.0
793,Built-up  Area,Ready To Move,Mallapur,2 BHK,VSomepi,1275,2.0,2.0,52.0
796,Super built-up  Area,Ready To Move,Nagole,2 BHK,Krryll ,1222,2.0,1.0,63.0
797,Super built-up  Area,Ready To Move,Banjara Hills,2 BHK,Palleon,940,2.0,1.0,41.0
798,Super built-up  Area,Ready To Move,Nizampet,2 BHK,MenueNo,1185,2.0,2.0,42.6
799,Super built-up  Area,Ready To Move,Nizampet,3 BHK,Soite E,1779,3.0,2.0,112.0
800,Super built-up  Area,Ready To Move,Nizampet,3 BHK,Dhalsh ,1615,3.0,2.0,59.76
802,Super built-up  Area,Ready To Move,Manikonda,2 BHK,Zostaa ,1056,2.0,1.0,61.0
804,Built-up  Area,Ready To Move,Habsiguda,2 BHK,Prdowth,920,2.0,1.0,40.0
805,Super built-up  Area,Ready To Move,Puppalaguda,3 BHK,BMityre,1602,2.0,0.0,75.0
809,Built-up  Area,Ready To Move,Nizampet,3 BHK,HMonymp,1717,3.0,3.0,99.0
811,Super built-up  Area,18-Jul,West Marredpally,4 BHK,Rosha I,2119,4.0,3.0,111.0
812,Super built-up  Area,Ready To Move,Kukatpally,2 BHK,Prlla C,1246,2.0,1.0,67.3
813,Super built-up  Area,17-Jul,Habsiguda,2 BHK,ViensRK,1141,2.0,1.0,42.79
815,Super built-up  Area,18-Aug,Puppalaguda,2 BHK,SuVue S,1025,2.0,2.0,27.68
816,Built-up  Area,Ready To Move,Manikonda,1 BHK,KHatsFl,650,1.0,2.0,33.0
817,Super built-up  Area,Ready To Move,East Marredpally,2 BHK,Prersis,1349,2.0,1.0,98.0
818,Super built-up  Area,Ready To Move,Beeramguda,3 BHK,Veodsar,1566,3.0,1.0,83.3
819,Super built-up  Area,Ready To Move,Nizampet,4 BHK,OsrdsOr,2830,3.0,3.0,195.0
822,Super built-up  Area,Ready To Move,Nizampet,2 BHK,Hirio L,1091,2.0,1.0,34.9
823,Super built-up  Area,Ready To Move,Nizampet,4 BHK,Leino C,3670,4.0,3.0,300.0
825,Super built-up  Area,20-Dec,Appa Junction Peerancheru,4 BHK,Detat H,1950,4.0,0.0,130.0
827,Super built-up  Area,Ready To Move,Appa Junction Peerancheru,3 BHK,Shana S,1705,3.0,2.0,95.0
828,Built-up  Area,Ready To Move,Appa Junction Peerancheru,3 BHK,Disical,1375,3.0,2.0,75.0
829,Super built-up  Area,21-Oct,Appa Junction Peerancheru,1 BHK,PrarePa,525,1.0,1.0,30.0
831,Super built-up  Area,Ready To Move,Appa Junction Peerancheru,2 BHK,SLaceda,1114,2.0,1.0,39.0
832,Super built-up  Area,Ready To Move,Appa Junction Peerancheru,3 BHK,Brsiaen,1450,2.0,1.0,100.0
835,Built-up  Area,Ready To Move,Appa Junction Peerancheru,2 BHK,Ratlet ,1000,2.0,2.0,45.0
836,Super built-up  Area,18-Apr,Appa Junction Peerancheru,2 BHK,Prarkun,1128,2.0,1.0,68.75
837,Super built-up  Area,18-May,Appa Junction Peerancheru,2 BHK,Wiowsri,1180,2.0,2.0,57.0
841,Super built-up  Area,Ready To Move,Appa Junction Peerancheru,2 BHK,PuandHi,1339,2.0,3.0,75.0
843,Super built-up  Area,Ready To Move,Appa Junction Peerancheru,2 BHK,SrncyRe,1040,2.0,1.0,39.52
846,Super built-up  Area,Ready To Move,Miyapur,3 BHK,Klark L,1691,3.0,2.0,113.0
847,Super built-up  Area,Ready To Move,Miyapur,3 BHK,Prityel,1075,3.0,2.0,36.0
850,Super built-up  Area,22-Dec,Miyapur,2 BHK,PrarePa,1115 - 1130,2.0,0.0,58.935
851,Super built-up  Area,Ready To Move,Kukatpally,3 BHK,Puestig,1665,3.0,2.0,86.58
853,Built-up  Area,Ready To Move,Kukatpally,2 BHK,Mapleer,1142,2.0,2.0,70.0
854,Super built-up  Area,Ready To Move,Kukatpally,3 BHK,Diacee ,1976,3.0,1.0,184.0
862,Super built-up  Area,Ready To Move,Kukatpally,2 BHK,Shitt S,1175,2.0,2.0,51.47
863,Built-up  Area,Ready To Move,Kondapur,2 BHK,DSagax ,1200,2.0,2.0,52.0
864,Built-up  Area,Ready To Move,Kukatpally,2 BHK,Prs 2hi,995,2.0,1.0,41.0
865,Super built-up  Area,Ready To Move,Appa Junction,2 BHK,Vrenty ,884,2.0,1.0,41.1
867,Built-up  Area,Ready To Move,Appa Junction,2 BHK,IBityin,1170,2.0,2.0,57.0
868,Super built-up  Area,Ready To Move,Appa Junction,2 BHK,LVniaar,1225,2.0,1.0,46.55
869,Super built-up  Area,18-Apr,Beeramguda,2 BHK,Prarkun,1342,2.0,1.0,73.3
871,Built-up  Area,Ready To Move,Krishna Reddy Pet,3 BHK,Shyas S,1320,3.0,0.0,65.0
873,Super built-up  Area,Ready To Move,Moosapet,2 BHK,GrrvaGr,1140,2.0,1.0,49.39
874,Super built-up  Area,Ready To Move,Moosapet,2 BHK,Sancy L,1300,2.0,1.0,50.0
876,Super built-up  Area,Ready To Move,Gajularamaram,3 BHK,Prtanha,2072,4.0,2.0,142.0
878,Super built-up  Area,Ready To Move,Miyapur,3 BHK,GMown E,1360,2.0,1.0,71.0
879,Super built-up  Area,Ready To Move,Beeramguda,3 BHK,Sueneu ,1145,2.0,2.0,60.0
880,Built-up  Area,Ready To Move,Kukatpally,3 BHK,Laihai ,1540,2.0,0.0,40.0
881,Super built-up  Area,Ready To Move,Kukatpally,2 BHK,Adeatlm,1278,2.0,2.0,95.0
882,Super built-up  Area,18-May,Gajulramaram Kukatpally,1 BHK,SNbay G,630,1.0,1.0,40.0
883,Super built-up  Area,21-Jan,Gajulramaram Kukatpally,3 BHK,PrarePa,1100,3.0,2.0,58.0
884,Plot  Area,Ready To Move,Gajulramaram Kukatpally,3 Bedroom,Brersld,1200,3.0,0.0,95.0
886,Super built-up  Area,18-Jun,Kukatpally,1 BHK,SuVue S,520 - 645,1.0,0.0,15.135
887,Super built-up  Area,18-Sep,Mallampet,2 BHK,SunceEs,1015,2.0,2.0,25.88
894,Super built-up  Area,Ready To Move,Krishna Reddy Pet,2 BHK,Leton A,1180,2.0,1.0,69.0
895,Super built-up  Area,Ready To Move,Krishna Reddy Pet,2 BHK,Sonviik,1116,2.0,3.0,51.91
896,Super built-up  Area,Ready To Move,Narsingi,2 BHK,SrncyRe,1070,2.0,1.0,42.79
897,Super built-up  Area,17-Mar,Manikonda,2 BHK,Uptusol,1385,2.0,3.0,80.0
900,Super built-up  Area,18-Aug,Khajaguda Nanakramguda Road,2 BHK,Vrenty ,1005,2.0,1.0,55.78
901,Super built-up  Area,Ready To Move,Miyapur,3 BHK,Soinequ,1575,3.0,2.0,125.0
902,Super built-up  Area,Ready To Move,Kondapur,2 BHK,Mayne A,975,2.0,1.0,65.0
903,Super built-up  Area,Ready To Move,Cherlapalli,3 BHK,SaireSa,1904,3.0,2.0,120.0
905,Super built-up  Area,21-Dec,Hitech City,1 BHK,PrarePa,525,1.0,1.0,26.0
907,Plot  Area,Ready To Move,Kachiguda,2 Bedroom,Daosts ,2400,3.0,1.0,150.0
910,Super built-up  Area,Ready To Move,Manikonda,2 BHK,Prncyrn,1174,2.0,1.0,69.0
912,Super built-up  Area,Ready To Move,Gajularamaram,3 BHK,UKe 2nz,2225,2.0,1.0,125.0
913,Super built-up  Area,Ready To Move,Tarnaka,2 BHK,SontsAp,1250,2.0,0.0,200.0
